Stolica,Strefa czasowa letnia,Szerokość geograficzna,Długość geograficzna
Abu Dhabi,4,24.4539 N, 54.3773 E
Ateny,3,37.9838 N, 23.7275 E
Amsterdam,2,52.3676 N, 4.9041 E
Bangkok,7,13.7563 N, 100.5018 E
Berlin,2,52.5200 N, 13.4050 E
Bratysława,2,48.1486 N, 17.1077 E
Kair,2,30.0444 N, 31.2357 E
Kijów,3,50.4501 N, 30.5234 E
Kuala Lumpur,8,3.1390 N, 101.6869 E
Kopenhaga,2,55.6761 N, 12.5683 E
Lima,-5,12.0464 S, 77.0428 W
Londyn,1,51.5074 N, 0.1278 W
Los Angeles,-7,34.0522 N, 118.2437 W
Lublin,2,51.2465 N, 22.5684 E
Madryt,2,40.4168 N, 3.7038 W
Moskwa,3,55.7558 N, 37.6176 E
Montevideo,-3,34.9011 S, 56.1645 W
Nowy Jork,-4,40.7128 N, 74.0060 W
Oslo,2,59.9139 N, 10.7522 E
Osaka,9,34.6937 N, 135.5023 E
Paryż,2,48.8566 N, 2.3522 E
Pekin,8,39.9042 N, 116.4074 E
Praga,2,50.0755 N, 14.4378 E
Rio de Janeiro,-3,22.9068 S, 43.1729 W
Rzym,2,41.9028 N, 12.4964 E
Ryga,3,56.9496 N, 24.1052 E
San Francisco,-7,37.7749 N, 122.4194 W
Sao Paulo,-3,23.5505 S, 46.6333 W
Seul,9,37.5665 N, 126.9780 E
Sztokholm,2,59.3293 N, 18.0686 E
Sydney,10,33.8688 N, 151.2093 E
Tel Awiw,3,32.0853 N, 34.7818 E
Tirana,2,41.3275 N, 19.8187 E
Tokio,9,35.6895 N, 139.6917 E
Tunis,2,36.8065 N, 10.1815 E
Vancouver,-7,49.2827 N, 123.1207 W
Warszawa,2,52.2297 N, 21.0122 E
Wellington,12,40.9006 S, 174.8860 E
